Income	Age	Dependents	Occupation	City_Tier	Rent	Loan_Repayment	Insurance	Groceries	Transport	Eating_Out	Entertainment	Utilities	Healthcare	Education	Miscellaneous
44396.7926503562	23	3	Professional	Tier_1	13319.0377951069	0	1226.74182916248	4916.23906252114	2550.63917155923	1791.33159587257	922.79882995083	3034.49114451636	1713.76296394204	3191.12336352696	738.175488497491
55065.3967055128	25	0	Self_Employed	Tier_2	11013.0793411026	4553.22238884556	1253.32088148025	6268.09840407788	4144.85940177103	1629.81092793506	2295.33991079255	2414.81393616667	2045.73464258591	0	1596.72040418354
28791.5355637774	58	1	Student	Tier_1	8637.46066913321	0	876.405581071918	3563.78465994054	1535.66670461308	1251.37175327826	847.522460146782	1525.9373200695	1380.43089442285	2193.56570982919	622.203486331024
13688.6493514192	21	1	Self_Employed	Tier_2	2737.72987028385	0	393.12500420925	1637.05572735923	731.307307160436	481.489866599081	311.609382469089	677.601179869261	541.414115189635	1002.17370157397	317.274624855398
16613.6586823561	51	4	Self_Employed	Tier_2	3322.73173647122	0	508.568412308225	2147.37532487179	928.24249767359	799.743874095104	643.34838948631	1072.8005676809	703.847145921545	1566.52953563497	283.223452367152
16040.6205865368	24	0	Self_Employed	Tier_2	3208.12411730736	821.63926220784	769.746594787664	2335.55866171503	907.605363486582	511.005919059662	726.758397117674	936.11454263716	715.206936150171	0	370.053332745936
34142.9527481042	61	1	Self_Employed	Tier_1	10242.8858244313	4388.7440460773	1440.99291508275	5106.3366985328	2249.13304400777	939.451206738395	1413.50091089627	1442.22557511409	1208.9403429596	3213.82973978571	694.612621031334
8963.87709777016	23	0	Self_Employed	Tier_1	2689.16312933105	0	319.270482665418	1021.51256983203	659.484412733733	364.629922876303	402.000882234871	432.980863390532	298.010895772224	0	136.337246749156
26809.4541810971	36	1	Professional	Tier_3	4021.41812716456	0	647.623909047881	3796.128321305	1914.02206059797	779.384604930163	1274.07036079717	1777.65325621592	1262.1758417524	1588.68171445979	724.018889841057
11879.9300025644	61	4	Professional	Tier_2	2375.98600051289	0	423.259720164076	1266.10477097962	669.689336039033	590.038369893794	355.433435990539	932.17543549666	391.258016396815	988.369462277845	169.700194345488
34226.7004592375	19	0	Retired	Tier_3	5134.00506888562	0	748.849213493318	3869.14818329222	1922.30253921207	1661.39853245936	1543.93853143045	1628.90343554044	1179.4536049902	0	861.548086708149
